run_id,swing_family,swing_param,top_family,top_params,bottom_family,bottom_params,integration,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,pct_days_cash,rebalances,swing_count,structure_entries,structure_exits,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_1x
Buy & hold 1x,baseline,,none,{},none,{},baseline,0.1417021767630089,0.1776229011881009,0.6987941793906342,-0.41607983364672635,,3036.886195083781,0.0,0,,,,,,,,
SMA20 1x/cash,baseline,,none,{},none,{},baseline,0.19222587412644154,0.1259473300106907,3.608646946488487,-0.23419402667363026,,9171.822652014675,43.866687239623516,745,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),baseline,,none,{},none,{},baseline,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,0.8587614738958949,7963.241711086046,32.093812683227895,703,,,,,,,,
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07030421748639215,0.10582224118940035,0.7762758145974468,-0.2741751219977225,0.25642084874125143,569.7361187042748,60.854806357043664,114,1002.0,57.0,56.0,,,,,
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1422025525778281,0.134009177153165,2.8865587547576625,-0.2943268527790905,0.4831450179795842,3040.64230018777,34.20768399938281,689,1002.0,70.0,89.0,10.0,2.0,282.0,1964.0,65.79231600061719
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.08797859895793358,0.1684479301206477,0.788857138569863,-0.5212301595762698,0.16879030758591393,868.7428838348135,9.84415985187471,180,1002.0,,89.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07078820740306746,0.10733481189241809,0.5509218507701176,-0.3181661003234801,0.22248821395835996,576.4094527275814,59.743866687239624,60,610.0,30.0,29.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,52.0,10.0,2.0,315.0,1964.0,64.09504706063879
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.1011067524925815,0.17202754261940517,0.6984789105579242,-0.43690246407985633,0.23141721735426368,1183.2186534458835,5.67813609010955,106,610.0,,52.0,,,,,
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06713833224783716,0.12261253487115234,0.4156814497661418,-0.35123813445043006,0.19114761656756363,527.8810206809786,51.1340842462583,40,456.0,20.0,19.0,,,,,
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1414410496861438,0.1327142848888424,2.8704195143281517,-0.27177006447986024,0.5204438169334334,2988.855297312477,35.704366610091036,675,456.0,31.0,33.0,10.0,2.0,376.0,1964.0,64.29563338990897
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10785485811320505,0.17418286328948954,0.6509950443373463,-0.4342550654722951,0.24836753025759709,1384.8780561816718,3.0550840919611173,68,456.0,,33.0,,,,,
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07857235725061473,0.11729760813215671,0.5624200604827188,-0.3282404686343398,0.23937437567500067,694.6359307169715,53.72627680913439,67,611.0,33.0,33.0,,,,,
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13772968925726814,0.13345678423761995,2.8507173823198757,-0.2998594145321641,0.4593142071999034,2748.3580194110687,34.871161857738,683,611.0,44.0,54.0,10.0,2.0,365.0,1964.0,65.128838142262
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10382379041597978,0.16976000134449182,0.7343154973931837,-0.4619823483783689,0.22473540554183014,1260.7648597126692,5.138095972843697,110,611.0,,54.0,,,,,
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.08988298340997813,0.10876087843020059,0.6579382296596987,-0.24179198267617905,0.3717368227645261,908.7715627232355,59.63585866378646,38,371.0,19.0,18.0,,,,,
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13383021568163667,0.13407689149670196,2.8861730523302094,-0.2877937941187876,0.4650212006531243,2515.7466658335206,34.23854343465514,711,371.0,24.0,36.0,10.0,2.0,329.0,1964.0,65.76145656534486
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10901899682182226,0.17410232807197576,0.6705860150760381,-0.45439390452318995,0.23992178534221179,1422.8532441349944,2.2835982101527543,74,371.0,,36.0,,,,,
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06757989116806584,0.10687045376678497,0.2566489379753441,-0.331837085825793,0.2036538230797499,533.5360800213142,65.73059713007252,11,175.0,5.0,5.0,,,,,
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1485590525373972,0.133378129283582,2.9725941169716883,-0.2491305833080381,0.5963099775418219,3507.8952182626617,34.31569202283598,697,175.0,10.0,18.0,10.0,2.0,373.0,1964.0,65.68430797716401
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.120841050679797,0.1758105464783196,0.6585347615254703,-0.4037000603286713,0.2993337444176119,1869.715072731119,1.2035179756210461,38,175.0,,18.0,,,,,
atr_1p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,atr,1.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.048604782531289414,0.1088376059936739,0.6177849456837181,-0.47801946620852726,0.10167950463775981,336.16201549771694,60.48449313377565,157,1477.0,78.0,78.0,,,,,
atr_1p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,atr,1.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13284502986113633,0.13407304812312065,2.8483100630513,-0.29113048318430673,0.45630752371965044,2460.043500302259,34.871161857738,699,1477.0,105.0,136.0,10.0,2.0,312.0,1964.0,65.128838142262
atr_1p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,atr,1.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.06253453915593465,0.1671223282463096,0.8113002276754298,-0.6338008045571345,0.09866591949126727,472.2497548409897,12.513501002931646,274,1477.0,,136.0,,,,,
atr_1p5__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,atr,1.5,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.05827809538184203,0.10517773165768782,0.5473926506362541,-0.21366353301614308,0.27275639674758584,425.86274524981775,61.33312760376485,108,1027.0,54.0,53.0,,,,,
atr_1p5__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,atr,1.5,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1392687835744466,0.13387704429666353,2.8491730264797015,-0.3112180302318948,0.44749587120860135,2845.7439333215534,34.84030242246567,679,1027.0,71.0,90.0,10.0,2.0,305.0,1964.0,65.15969757753433
atr_1p5__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,atr,1.5,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.07925151562982569,0.16866942362360696,0.7167510452109374,-0.5465276800011847,0.14500915238118203,705.9906135171362,7.853726276809134,182,1027.0,,90.0,,,,,
atr_2p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,atr,2.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06657546170650219,0.10516148787045597,0.5765790739398247,-0.31816610032348003,0.2092475019771585,520.7558073545868,61.240549297947844,82,781.0,41.0,40.0,,,,,
atr_2p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,atr,2.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1438716493604839,0.13436996989637015,2.8857887296683407,-0.2796928311500807,0.5143916230133323,3157.1854266374535,34.11510569356581,685,781.0,52.0,70.0,10.0,2.0,302.0,1964.0,65.88489430643419
atr_2p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,atr,2.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.09046802824606215,0.17021617773706574,0.7071871355562475,-0.5023984171755326,0.18007227959568511,921.4206625566354,8.27032865298565,142,781.0,,70.0,,,,,
zigzag_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,zigzag,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07857235725061473,0.11729760813215671,0.5624200604827188,-0.3282404686343398,0.23937437567500067,694.6359307169715,53.72627680913439,67,611.0,33.0,33.0,,,,,
zigzag_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,zigzag,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13772968925726814,0.13345678423761995,2.8507173823198757,-0.2998594145321641,0.4593142071999034,2748.3580194110687,34.871161857738,683,611.0,44.0,54.0,10.0,2.0,365.0,1964.0,65.128838142262
zigzag_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,zigzag,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10382379041597978,0.16976000134449182,0.7343154973931837,-0.4619823483783689,0.22473540554183014,1260.7648597126692,5.138095972843697,110,611.0,,54.0,,,,,
zigzag_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,zigzag,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.08988298340997813,0.10876087843020059,0.6579382296596987,-0.24179198267617905,0.3717368227645261,908.7715627232355,59.63585866378646,38,371.0,19.0,18.0,,,,,
zigzag_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,zigzag,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13383021568163667,0.13407689149670196,2.8861730523302094,-0.2877937941187876,0.4650212006531243,2515.7466658335206,34.23854343465514,711,371.0,24.0,36.0,10.0,2.0,329.0,1964.0,65.76145656534486
zigzag_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,zigzag,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10901899682182226,0.17410232807197576,0.6705860150760381,-0.45439390452318995,0.23992178534221179,1422.8532441349944,2.2835982101527543,74,371.0,,36.0,,,,,
zigzag_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,zigzag,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06757989116806584,0.10687045376678497,0.2566489379753441,-0.331837085825793,0.2036538230797499,533.5360800213142,65.73059713007252,11,175.0,5.0,5.0,,,,,
zigzag_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,zigzag,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1485590525373972,0.133378129283582,2.9725941169716883,-0.2491305833080381,0.5963099775418219,3507.8952182626617,34.31569202283598,697,175.0,10.0,18.0,10.0,2.0,373.0,1964.0,65.68430797716401
zigzag_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,zigzag,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.120841050679797,0.1758105464783196,0.6585347615254703,-0.4037000603286713,0.2993337444176119,1869.715072731119,1.2035179756210461,38,175.0,,18.0,,,,,
fractal_5p0__top_classic_exitLH_k2__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.08393534697233607,0.11210896686911494,0.6214159701976899,-0.24179198267617846,0.3471386687156912,789.2993258070283,54.49776269094275,52,610.0,26.0,25.0,,,,,
fractal_5p0__top_classic_exitLH_k2__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,47.0,10.0,2.0,371.0,1964.0,64.09504706063879
fractal_5p0__top_classic_exitLL_k2__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.07349475865566069,0.13612681407438232,0.47678312090612746,-0.3913110978552604,0.18781669893462924,615.1351086011125,42.23113717018979,48,610.0,24.0,23.0,,,,,
fractal_5p0__top_classic_exitLL_k2__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.15265189406659263,0.1353212837178096,2.9182375273792434,-0.26091579977365587,0.5850619019584784,3844.484512947227,34.23854343465514,679,610.0,43.0,35.0,10.0,2.0,429.0,1964.0,65.76145656534486
fractal_5p0__top_classic_exitLH_LL_k2__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.0636360538100178,0.08997090171401066,0.565285059887791,-0.1982236962497,0.32103151648356026,485.02323752721486,71.5784601141799,76,610.0,38.0,37.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k2__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.13948893568381515,0.13259239407713005,2.8412766195911736,-0.25546906245683787,0.5460110681988437,2859.9423126065103,35.98210152754205,669,610.0,43.0,82.0,10.0,2.0,200.0,1964.0,64.01789847245796
fractal_5p0__top_classic_exitLH_k3__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.08692088400204612,0.12369201853990865,0.6051782232015004,-0.2790221789781492,0.31151962299331437,847.2483063808397,45.25536182687857,44,610.0,22.0,21.0,,,,,
fractal_5p0__top_classic_exitLH_k3__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,34.0,10.0,2.0,463.0,1964.0,64.09504706063879
fractal_5p0__top_classic_exitLL_k3__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.08797068557795473,0.14692076102241594,0.536286553222033,-0.3967393771381405,0.22173419289138083,868.5801413625035,28.14380496836908,34,610.0,17.0,16.0,,,,,
fractal_5p0__top_classic_exitLL_k3__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1563581951966131,0.1364879185651644,2.9706648507130042,-0.2609946900251771,0.5990857330527677,4175.897895561776,32.46412590649591,697,610.0,43.0,18.0,10.0,2.0,561.0,1964.0,67.53587409350409
fractal_5p0__top_classic_exitLH_k4__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 4}",capitulation,"{""k"": 3}",structure_only,0.09234121513834759,0.14014438733063422,0.563790788484424,-0.32158117998921093,0.28714744793661634,963.0687924865982,31.646350871779045,28,610.0,14.0,13.0,,,,,
fractal_5p0__top_classic_exitLH_k4__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH"", ""k"": 4}",capitulation,"{""k"": 3}",guarded,0.13824996578381898,0.13303664637889595,2.823850545754192,-0.2548463031357709,0.5424837012847131,2780.9143849286684,35.704366610091036,669,610.0,43.0,19.0,10.0,2.0,565.0,1964.0,64.29563338990897
fractal_5p0__top_classic_exitLL_k4__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 4}",capitulation,"{""k"": 3}",structure_only,0.08857299974019117,0.1478117553773457,0.5276661742707113,-0.3815986753324834,0.23211034383968535,881.0511611065922,27.341459651288382,30,610.0,15.0,14.0,,,,,
fractal_5p0__top_classic_exitLL_k4__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LL"", ""k"": 4}",capitulation,"{""k"": 3}",guarded,0.1563581951966131,0.1364879185651644,2.9706648507130042,-0.2609946900251771,0.5990857330527677,4175.897895561776,32.46412590649591,697,610.0,43.0,16.0,10.0,2.0,568.0,1964.0,67.53587409350409
fractal_5p0__top_classic_exitLH_LL_k4__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 4}",capitulation,"{""k"": 3}",structure_only,0.0720478369026798,0.12466942133048206,0.4781395758449809,-0.31909397741844764,0.2257887707112661,594.1315227687861,47.04520907267397,44,610.0,22.0,21.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k4__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 4}",capitulation,"{""k"": 3}",guarded,0.13824996578381898,0.13303664637889595,2.823850545754192,-0.2548463031357709,0.5424837012847131,2780.9143849286684,35.704366610091036,669,610.0,43.0,35.0,10.0,2.0,410.0,1964.0,64.29563338990897
fractal_5p0__top_failed_hh_m3__bot_capitulation_k3__structure_only,fractal,5.0,failed_hh,"{""m"": 3}",capitulation,"{""k"": 3}",structure_only,0.09408140585007296,0.08317536138311088,1.0797246617528047,-0.21946623466940238,0.42868282673092967,1003.3767695098891,80.8208609782441,72,610.0,36.0,35.0,,,,,
fractal_5p0__top_failed_hh_m3__bot_capitulation_k3__guarded,fractal,5.0,failed_hh,"{""m"": 3}",capitulation,"{""k"": 3}",guarded,0.1419143552315696,0.1328480445454704,2.855371227836631,-0.2566268827049537,0.5529987884968771,3020.94242900175,35.6735071748187,669,610.0,43.0,83.0,10.0,2.0,167.0,1964.0,64.3264928251813
fractal_5p0__top_failed_hh_m5__bot_capitulation_k3__structure_only,fractal,5.0,failed_hh,"{""m"": 5}",capitulation,"{""k"": 3}",structure_only,0.09361763887732377,0.0831038048913766,1.0751219421457185,-0.21946623466940238,0.4265696680783114,992.4788365346728,81.05230674278661,72,610.0,36.0,35.0,,,,,
